,"STN
Code",Name of Monitoring Location,Type Water Body,State Name,TemperatureC_mean,Dissolved Oxygen_mg/L_mean,pH_mean,Conductivity_mhos/cm_mean,BOD_mg/L_mean,Nitrate_N_mg/L_mean,Fecal_Coliform_MPN/100ml_mean,Total_Coliform_MPN/100ml_mean,Kmeans_groups
0,4368,"KOLLERU LAKE KOKKIRAYALANKA (V), KAILALUR (M)",LAKE,ANDHRA PRADESH,25.5,4.85,7.5,2702.5,2.4,2.31,15.0,165.0,0
1,2353,"KONDAKARLA-AAVA LAKE, PARAWADA PHARMA CITY, VISHAKHAPATNAM",LAKE,ANDHRA PRADESH,27.5,4.9,7.35,889.0,3.25,2.165,19.0,195.0,0
2,1790,"PULICATE LAKE , NELLORE DIST",LAKE,ANDHRA PRADESH,21.0,5.1,7.7,42450.0,2.6,1.42,3.0,98.5,0
3,4391,"CHENGAMBAKAM TANK IN SRI CITY SEZ,
TIRUPATHI",TANK,ANDHRA PRADESH,25.5,5.8,7.1,328.0,1.75,1.32,194.5,359.5,0
4,4921,"ANNAMAYYA PROJECT ON CHEYYERU
RESERVOIR",Wetland,ANDHRA PRADESH,25.5,5.95,7.65,615.0,1.65,0.675,166.0,483.5,0
5,4936,ANUMANAPALLE CHERUVU,Wetland,ANDHRA PRADESH,22.5,7.15,8.05,239.0,1.7,1.105,3.5,106.5,0
6,4919,BRAMHASAGAR,Wetland,ANDHRA PRADESH,24.5,5.75,7.5,494.5,1.6,0.495,183.5,406.0,0
7,4926,DALI TANK,Wetland,ANDHRA PRADESH,26.5,5.75,7.8,9612.0,2.0,1.6,9.5,76.0,0
8,4931,GACCHAKAYALA PORA (LAGOON),Wetland,ANDHRA PRADESH,29.0,5.85,7.85,34565.0,2.5,1.745,9.5,92.0,0
9,4917,GANGINENI CHERUVU,Wetland,ANDHRA PRADESH,25.5,4.8,7.35,1064.0,2.85,2.795,425.0,830.0,0
10,4934,INTERU SWAMPS,Wetland,ANDHRA PRADESH,25.5,6.8,7.6,21485.0,2.6,1.46,3.0,106.5,0
11,4918,KATTAMANCHI CHERUVU,Wetland,ANDHRA PRADESH,26.5,4.95,7.45,1018.0,2.5,1.78,347.5,775.0,0
12,4933,KRISHNA MANGROVES,Wetland,ANDHRA PRADESH,26.0,5.65,7.55,29250.0,2.6,1.42,3.0,110.5,0
13,4916,MID PENNAR RESERVOIR,Wetland,ANDHRA PRADESH,24.0,5.8,7.45,453.0,1.35,1.45,230.0,439.5,0
14,4925,NAUPADA SWAMPS,Wetland,ANDHRA PRADESH,27.0,5.0,7.75,29415.0,2.95,3.58,17.5,551.0,0
15,4930,P .S. CHINNAIAH PALEM,Wetland,ANDHRA PRADESH,27.0,6.9,7.5,900.0,2.8,1.12,12.5,137.0,0
16,4924,PATATEKALLI CHERUVU,Wetland,ANDHRA PRADESH,27.0,6.0,7.75,26685.5,11.75,2.445,16.0,290.0,0
17,4915,PATHAKOTHA CHERUVU,Wetland,ANDHRA PRADESH,25.5,5.35,7.6,1316.5,2.4,1.68,404.5,738.0,0
18,4928,PEDDA CHERUVU,Wetland,ANDHRA PRADESH,29.0,3.9,7.15,1035.0,27.95,4.025,30.0,1320.0,0
19,4923,SANGAMESWARA BACKWATERS,Wetland,ANDHRA PRADESH,24.5,5.75,7.35,783.5,1.95,1.36,198.5,530.0,0
20,4920,SOMASILA BACK WATER,Wetland,ANDHRA PRADESH,25.0,5.85,7.55,637.5,1.4,0.64,199.0,417.0,0
21,4927,TATIPUDI RESERVOIR,Wetland,ANDHRA PRADESH,28.5,6.05,7.6,304.0,1.8,1.315,3.5,57.0,0
22,4929,UPPALANKA MUDFLATS,Wetland,ANDHRA PRADESH,27.0,5.15,7.5,20165.0,3.8,1.74,9.5,99.5,0
23,4935,UPPALAPADU TANK,Wetland,ANDHRA PRADESH,22.5,7.0,7.7,789.0,3.5,2.895,3.5,1275.0,0
24,4932,YERRAKALUVA RESERVOIR,Wetland,ANDHRA PRADESH,25.5,5.2,7.55,680.0,2.1,1.355,5.5,68.0,0
25,3785,"BORBEEL NO. 1 , RAM NAGAR, DIGBOI,
PUBLIC WATER SUPPLY, TINSUKIA",LAKE,ASSAM,24.0,1.0,7.75,280.0,2.35,1.0,2.0,2.0,0
26,3789,"BORDOIBAM BEELMUKH BIRD
SANCTUARY, DHEMAJI",LAKE,ASSAM,24.0,6.15,7.35,193.5,2.35,0.9,605.0,1700.0,0
27,3820,"BORSOLA BEEL, SARABBHATTI,
GUWAHATI",LAKE,ASSAM,26.5,3.3,7.55,461.0,26.4,2.4,3100.0,5400.0,0
28,2206,"DALONI BEEL NEAR JOGIGHOPA, ASSAM",LAKE,ASSAM,30.0,5.0,7.4,73.5,2.1,0.9,515.0,1055.0,0
29,2218,"DEEPAR BEEL AT BORAGAON NEAR
IASST, GUWAHATI, ASSAM",LAKE,ASSAM,26.0,7.7,7.5,222.0,3.5,1.3,515.0,1350.0,0
30,1529,"DEEPAR BEEL, ASSAM",LAKE,ASSAM,25.5,7.5,7.5,220.5,3.7,1.3,515.0,1255.0,0
31,3821,"DIPLAI BEEL AT SILGARA, KOKRAJHAR",LAKE,ASSAM,28.0,4.85,7.3,81.0,2.45,1.05,515.0,1255.0,0
32,3787,"HOLUDUNGA BEEL NEAR GAI NADI/
RIVER AT SOMARAJAN, DHEMA JI",LAKE,ASSAM,23.5,6.3,7.3,107.0,2.4,0.75,515.0,1205.0,0
33,4337,"KAMALABARI LAKE INSIDE KAMALABARI
CHILDREN,S PARK, GELEKY",LAKE,ASSAM,27.5,6.5,7.2,69.0,2.2,0.95,330.0,635.0,0
34,3812,"KAMALPUR BEEL, KAMALPUR",LAKE,ASSAM,24.0,2.05,7.5,1098.0,27.8,2.8,880.0,1805.0,0
35,3800,"MALINI BEEL NEAR INDUTRIAL AREA AT
RAMNAGAR",LAKE,ASSAM,22.5,5.1,7.35,145.0,2.45,0.8,455.0,1105.0,0
36,2205,"MER BEEL AT MADHABPUR, ASSAM",LAKE,ASSAM,23.5,5.9,7.6,148.5,2.55,0.95,510.0,1455.0,0
37,3808,PARASHALI BEEL AT DEMORIA,LAKE,ASSAM,25.0,8.0,7.3,136.0,2.5,0.9,615.0,1455.0,0
38,3798,SAMAGURI BEEL IN NAGAON DISTRICT,LAKE,ASSAM,26.5,5.55,7.25,130.5,2.45,0.85,515.0,1360.0,0
39,3814,"SILSAKO BEEL, CHACHAL, GUWAHATI",LAKE,ASSAM,26.5,0.85,7.35,521.5,16.5,1.9,1850.0,3500.0,0
40,3804,SON BEEL WATER AT KARIMGANJ,LAKE,ASSAM,23.0,4.15,7.15,140.5,2.5,0.9,605.0,1415.0,0
41,3819,"SORU SOLA BEEL, PALTAN BAZAR,
GUWAHATI",LAKE,ASSAM,26.5,3.5,7.5,474.0,27.0,2.4,3100.0,4750.0,0
42,2225,"BASKANDI POND INSIDE THE BASKANDI MADRASA, BASKANDI, ASSAM",POND,ASSAM,21.0,4.5,7.35,115.5,2.35,0.9,605.0,1550.0,0
43,2219,"BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE, HAJO, ASSAM",POND,ASSAM,23.5,7.25,7.3,226.0,2.3,1.15,1300.0,2515.0,0
44,2207,"BOR BEEL AT JAKAI., ASSAM",POND,ASSAM,23.0,5.5,7.5,248.5,2.4,0.85,515.0,1055.0,0
45,3772,BORPUKHURI AT SONARI,POND,ASSAM,25.5,6.6,7.4,89.5,2.3,0.85,330.0,730.0,0
46,2208,"BORPUKHURI, NAZIRA, ASSAM",POND,ASSAM,26.5,6.6,7.3,76.0,2.25,0.9,330.0,605.0,0
47,2214,"BOTODRIVA SATRA POND, NAGAON,
ASSAM",POND,ASSAM,25.0,5.1,7.4,75.5,2.4,0.95,515.0,1115.0,0
48,2220,"CHAND DUBI BEEL, CHAND DUBI, ASSAM",POND,ASSAM,27.0,7.45,7.45,95.5,2.35,0.9,515.0,1110.0,0
49,2216,"DIGHALI PUKHURI, GUWAHATI, ASSAM",POND,ASSAM,27.5,7.7,7.4,269.5,2.65,1.4,545.0,1455.0,0
50,1263,"ELANGABEEL SYSTEM POND
(CONNECTED TO R. KOLANG), ASSAM",POND,ASSAM,24.0,5.4,7.3,544.0,2.5,1.05,605.0,1415.0,0
51,2228,"GALA BEEL AT DERGAON, ASSAM",POND,ASSAM,25.0,8.0,7.55,83.0,2.3,0.9,510.0,1110.0,0
