"STN
Code",Name of Monitoring Location,Type Water Body,State Name,TemperatureC_mean,Dissolved Oxygen_mg/L_mean,pH_mean,Conductivity_mhos/cm_mean,BOD_mg/L_mean,Nitrate_N_mg/L_mean,Fecal_Coliform_MPN/100ml_mean,Total_Coliform_MPN/100ml_mean
4368,"KOLLERU LAKE KOKKIRAYALANKA (V), KAILALUR (M)",LAKE,ANDHRA PRADESH,25.5,4.85,7.5,2702.5,2.4,2.31,15,165
2353,"KONDAKARLA-AAVA LAKE, PARAWADA PHARMA CITY, VISHAKHAPATNAM",LAKE,ANDHRA PRADESH,27.5,4.9,7.35,889,3.25,2.165,19,195
1790,"PULICATE LAKE , NELLORE DIST",LAKE,ANDHRA PRADESH,21,5.1,7.7,42450,2.6,1.42,3,98.5
4391,"CHENGAMBAKAM TANK IN SRI CITY SEZ,
TIRUPATHI",TANK,ANDHRA PRADESH,25.5,5.8,7.1,328,1.75,1.32,194.5,359.5
4921,"ANNAMAYYA PROJECT ON CHEYYERU
RESERVOIR",Wetland,ANDHRA PRADESH,25.5,5.95,7.65,615,1.65,0.675,166,483.5
4936,ANUMANAPALLE CHERUVU,Wetland,ANDHRA PRADESH,22.5,7.15,8.05,239,1.7,1.105,3.5,106.5
4919,BRAMHASAGAR,Wetland,ANDHRA PRADESH,24.5,5.75,7.5,494.5,1.6,0.495,183.5,406
4926,DALI TANK,Wetland,ANDHRA PRADESH,26.5,5.75,7.8,9612,2,1.6,9.5,76
4931,GACCHAKAYALA PORA (LAGOON),Wetland,ANDHRA PRADESH,29,5.85,7.85,34565,2.5,1.745,9.5,92
4917,GANGINENI CHERUVU,Wetland,ANDHRA PRADESH,25.5,4.8,7.35,1064,2.85,2.795,425,830
4934,INTERU SWAMPS,Wetland,ANDHRA PRADESH,25.5,6.8,7.6,21485,2.6,1.46,3,106.5
4918,KATTAMANCHI CHERUVU,Wetland,ANDHRA PRADESH,26.5,4.95,7.45,1018,2.5,1.78,347.5,775
4933,KRISHNA MANGROVES,Wetland,ANDHRA PRADESH,26,5.65,7.55,29250,2.6,1.42,3,110.5
4916,MID PENNAR RESERVOIR,Wetland,ANDHRA PRADESH,24,5.8,7.45,453,1.35,1.45,230,439.5
4925,NAUPADA SWAMPS,Wetland,ANDHRA PRADESH,27,5,7.75,29415,2.95,3.58,17.5,551
4930,P .S. CHINNAIAH PALEM,Wetland,ANDHRA PRADESH,27,6.9,7.5,900,2.8,1.12,12.5,137
4924,PATATEKALLI CHERUVU,Wetland,ANDHRA PRADESH,27,6,7.75,26685.5,11.75,2.445,16,290
4915,PATHAKOTHA CHERUVU,Wetland,ANDHRA PRADESH,25.5,5.35,7.6,1316.5,2.4,1.68,404.5,738
4928,PEDDA CHERUVU,Wetland,ANDHRA PRADESH,29,3.9,7.15,1035,27.95,4.025,30,1320
4923,SANGAMESWARA BACKWATERS,Wetland,ANDHRA PRADESH,24.5,5.75,7.35,783.5,1.95,1.36,198.5,530
